Complaint ID,Consumer complaint narrative,my_category,my_risk,notes
7479571,"I opened a 12 months CD with bank of America in the month of XXXX. Few months later, in the month of XXXX, i needed to access the funds, so i closed the account. Not surprisingly, Bank of America subtracted the earned interest as the account was cancelled before the maturity term. In addition, to that, they charged me {$1000.00} fee for closing it early. I chatted with CD department representative, and they agreed that it happened in error and assured me that i will get my funds back. Unfortunately, that never happened.",Lack of action in a reasonable timeframe,High,
9341050,Somebody called XXXX XXXX is using my credit and opened A lot of credit card,Disputed/unauthorized account,High,
1477072,"Today I was at work when I was interrupted by my Supervisor around XXXX and was notified that Security needed to see me. My supervisor escorted me to Security and I was handed some paperwork. The man appeared to have a badge on his blue shirt that read "" Constable ''. I was told by the man who had the badge that I was being served for a credit card but that it was n't a big deal and that I had 20 days to respond. He was explaining to me that I was being sued for a credit card but he did n't ask me to sign anything and I did n't end up sign anything at all which I thought was odd. After taking a look at my credit report, I noticed that this debt was from XXXX and the last time I had made a payment was XXXX. According to Nevada law I know that they only have 4 years to sue me which would have been XXXX and I know that they can not come to my place of employment. They have violated my consumer rights by trying to sue me now in XXXX and coming to my place of employment. I am also not sure if the person was really a law enforcement official or not I 'm still trying to figure that out.",Incorrect account filing,High,Updated from predatory practices on second run through
6021884,"In accordance with the Fair Credit Reporting act XXXX Account # XXXX, has violated my rights. 
15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose",Disputed/unauthorized account,High,
5696124,Fees for current month of XXXX is already at XXXX. Year - to Date fees is at XXXX i feel they are charging me outrageous fees.,Disputed/unauthorized account,Low,
8465365,"I would like to add a little back story about why this happened. I'm an XXXX 10 years or so ago and when I was away I had lost my ID, Birth certificate, and Social Security Card. I'm unemployed and problem free. I just stay at home and work around the house. 

I opened a Captial One Checking account online on XX/XX/2023 using an Inheritance check I recieved from a deceased uncle in the amount {$2500.00}. I wanted to use this to get going with my life. My brother also deposited {$50.00} from his saving account into my account on the same day. Once I received the account bank card I try to activate it but the account was on hold, so I called CapOne customer service and they stated to activate the card I would need ID. I only had my inmate ID and they said it would not be good enough, so I had to go through the long process and nightmare of getting my ID, Birth Certificate and Social Security Card to even get an Texas ID. I finally got everything in order in XXXX and Called customer service but they stated the account was closed and was under investigation and would take 45 days before we would know the outcome. 
I was able to still log on online to my account but it says on XXXX XX/XX/2023 the money was subtracted from the account ( both deposits ). We waited the 45 days but heard nothing back from Capital One. I attempted to call customer service again and they stated without reason that I can not do buisness with them and that the money was returned to the source accounts. The check amount of {$2500.00} was not returned to issuing bank nor was my brothers {$50.00} returned to his savings account at XXXX XXXX XXXX. I still have the inheritance check but because to cash it with capital one online you have to write on the back FOR CAPITAL ONE when you endorse it. The money is not returned to the Financial Institution of my Inheritance. Capital One has kept both my money and my brothers money. Please help with this.",Closed dispute without resolving the issue,High,
14931920,"{$160.00} was taken out of my chime account fraudulently, after them issuing me a new card they denied the claim without any information. I can't even look at the dispute now they have it hidden although they state it is on the home page it is not... this fraudulent charge and dispute was early XXXX of this year ( 2025 ) yet I can not view the dispute like chime vigilantly states.",Closed dispute without resolving the issue,High,
4511215,"My brother & I opened a chase checking and savings account this year. We tried using XXXX 3x and our acct was locked. Each time we went to the branch to unlock it ( the 3rd time we spoke to the branch mgr Mr XXXX ) and he assured me it was fixed but that the retail banking function is mged by the back office, not him. After this, we couldn't take money out of the ATM. When I deposited a check from chase to another bank, a charge was made of {$25.00} w no explanation. I called the XXXX number XX/XX/21 and spoke to 2 supervisors. They claimed they couldn't hear me, said they would transfer me to account services which manages my acct and then I was disconnected. I am currently able to see the acct on line but can not do any transactions like atm, transfers, XXXX. The branch I went to is in XXXX  on XXXX XXXX. After I was disconnected the 1st time I called the account services number I was given XXXX and was disconnected again. I believe that someone in the bank has taken illegal control of this acct.",Lack of action in a reasonable timeframe,High,
2358896,I am being charged {$600.00} from central financial control which is a debt collector for XXXX medical center. This debt and account is an authorized and my primary care physician is located in XXXX and this debt originated from XXXX.,Disputed/unauthorized account,Low,
20343915,"On XXXX I tried to do payment over the company Mortage app the Freedom Mortage I did double payments but I reversed them right a way. Then I did XXXX big payment of the amount of {$4000.00} I supported my transaction with : 1- transaction receipt from the bank 2- transaction history .after all of that they denied the payment and say it is returned from the Bank But now after they got that proof they want the stamens history which wont be available to the first week of XXXX. 
I spend around XXXX hours talking to Custmer service and another XXXX mins to talk to a supervisor. No luck. 
My account now is past due, late fee applied, interest a cured, and its negatively marked as late payment.",Lack of action in a reasonable timeframe,High,
6288548,They keep saying that they send a ck but we never received it and dont ant to give a copy to verify that THANKS,Lack of action in a reasonable timeframe,Medium,
3178378,"Capital One calls outside of legal hours and when questioned on this abuse, they claim that they do not have control over their own auto-dialing system. I have documented at least one instance when they called after XXXX XXXX EST. Instead of acknowledging their violation of the law, they attempt to collect a debt.",Closed dispute without resolving the issue,Medium,Updated from predatory practices on second run through
6519975,"I contacted Midland Mortgage in XXXX, during the XXXX XXXX, to inform them I was unable to work due to economic shutdown. I was approved for a program that put a hold on monthly mortgage payments. 

However, that program expired after a certain time period and I was informed all of the back payments were due to be paid. 

Unable to pay arrears to bring the loan current, I applied for a loan modification program to re-finance the mortgage. Unfortunately, I became XXXX  and no family member could afford to make the initial instalment required to process the modification. 

Unable to process the 1st loan modification, I later re-applied for a 2nd but Midland Mortgage refused to process the modification until XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX payments were received with the paperwork. 

In order to "" get ahead '' of the required modification instalment, I applied for a 3rd loan modification and was recently denied due to the property being vacant.",Other,Medium,This doesn't clearly fit under any of the labels
6316587,Capital one credit card charges the customer a {$40.00} late fee if the payment isn't made by a specific time on your bill due date. When I call them their customer service agents are very rude and unprofessional ignorant individuals who claim there is nothing they can do. Who is this company to tell a customer what time of day to pay their bil?? I believe these charges are not legal and hope a resolution can occur.,Disputed/unauthorized account,Medium,
7347507,It is highly unjustifiable to have late payments displayed on my account when I have consistently made timely payments.,Incorrect account filing,High,
4059545,"Ditech transferred my home loan to Shellpoint Mortgaging in XX/XX/XXXX. When covid-19 hit in XX/XX/XXXX, I was placed on forbearance which should have stopped late fees and the monthly payments. I read the fine print on the forbearance agreement stating that I would be responsible for FULL payment of my balance upon its completion. Therefore, I continued to pay monthly payments throughout the forbearance period. Starting in XX/XX/XXXX, I began receiving foreclosure mailings via certified and regular mail, I should not have been threatened with foreclosure as I was in forbearance and was paying my mortgage. When contacting customer service, I mentioned that my monthly statements were always incorrect, having late fees that should not have been accrued during forbearance and on average, my payments were indicated as three to four months behind. I was further informed that "" The statements are never correct and we can not control the certified and other mailings because they automatically go out. '' Shellpoint is notorious for late reporting on payments, price gouging, and threats of foreclosure. They make it impossible on paper to "" catch up '' on your balance and I feel, just want to take your property at all costs. They are insensitive to those being impacted financially by covid-19. My most recent conversation on XX/XX/XXXX, resulted in my review of the current monthly statement ( which stated that I was four payments behind again. ) The customer service representative said, "" No, actually this statement is incorrect and you only owe "" {$220.00} to be current for XX/XX/XXXX. '' I want to stop the threats of foreclosure as they are not warranted ( I now am in forbearance until XX/XX/XXXX. ) I also want Shellpoint to mail ACCURATE statements monthly, reporting payments in a timely manner, withholding unnecessary late fees, and stop bullying consumers into draining their savings in playing the impossible "" catch up '' game. This company has the WORST online rating and someone needs to file a lawsuit for their despicable practices.",Closed dispute without resolving the issue,High,Updated from predatory practices on second run through
6342245,I recently made complaint XXXX that has been closed after the company response. They did analyze my escrow and supposedly sent a check for {$440.00} on XX/XX/XXXX. I have not received this check. I have tried multiple times to call Mr. Cooper and have been unable to get through their deplorable computerized phone system to a person after holding for long periods of time. This is not the amount that was taken at closing for taxes plus what has been paid monthly into escrow for TAXES. There is still an amount that shows taxes will be in escrow for {$280.00}. My husband is a XXXX veteran and is tax exempt. This lender has also sent notification that our homeowner 's insurance is inadequate and needs to be raised or payment will go up even more! Insurance was deemed adequate at XX/XX/XXXX closing date by our CHOSEN lender. I am disturbed at the dishonesty of this lender and would like assistance in changing to a more reputable company. This is infuriating that mortgages can be sold and people who pay their bills on time can be harassed by dishonest huge companies attempting to steal from XXXX veterans.,Closed dispute without resolving the issue,High,Updated from predatory practices on second run through
